"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"811","Fairfield University","Connecticut","CT","Private","4 Year",14710,48350,63060,48350,63060
"812","Fairleigh Dickinson University: College at Florham","New Jersey","NJ","Private","4 Year",13392,42618,56010,42618,56010
"813","Fairleigh Dickinson University: Metropolitan Campus","New Jersey","NJ","Private","4 Year",13348,40236,53584,40236,53584
"814","Fairmont State University","West Virginia","WV","Public","4 Year",9004,7514,16518,16324,25328
"815","Faith Baptist Bible College and Theological Seminary","Iowa","IA","Private","4 Year",6800,16876,23676,16876,23676
"816","Family of Faith College","Oklahoma","OK","Private","4 Year",2400,6400,8800,6400,8800
"817","Fashion Institute of Technology","New York","NY","Public","4 Year",14480,5740,20220,15520,30000
"818","Faulkner University","Alabama","AL","Private","4 Year",7750,21690,29440,21690,29440
"819","Fayetteville State University","North Carolina","NC","Public","4 Year",8236,4915,13151,16523,24759
"820","Fayetteville Technical Community College","North Carolina","NC","Public","2 Year",NA,2392,2392,8152,8152
"821","Feather River College","California","CA","Public","2 Year",5350,1461,6811,8511,13861
"822","Felician University","New Jersey","NJ","Private","4 Year",12880,34315,47195,34315,47195
"823","Ferris State University","Michigan","MI","Public","4 Year",9894,12630,22524,12630,22524
"824","Ferrum College","Virginia","VA","Private","4 Year",11500,34175,45675,34175,45675
"825","Fiath International University","Washington","WA","Private","4 Year",NA,7650,7650,7650,7650
"826","Finger Lakes Community College","New York","NY","Public","2 Year",9737,5158,14895,7450,17187
"827","Finlandia University","Michigan","MI","Private","4 Year",8800,22758,31558,22758,31558
"828","Fisher College","Massachusetts","MA","Private","4 Year",15926,31384,47310,31384,47310
"829","Fisk University","Tennessee","TN","Private","4 Year",10790,21480,32270,21480,32270
"830","Fitchburg State University","Massachusetts","MA","Public","4 Year",10922,10355,21277,16435,27357
"831","Five Towns College","New York","NY","For Profit","4 Year",12820,21640,34460,21640,34460
"832","Flagler College","Florida","FL","Private","4 Year",11340,18950,30290,18950,30290
"833","Flathead Valley Community College","Montana","MT","Public","2 Year",NA,4638,4638,11778,11778
"834","Florence-Darlington Technical College","South Carolina","SC","Public","2 Year",NA,5540,5540,8210,8210
"835","Florida Agricultural and Mechanical University","Florida","FL","Public","4 Year",10594,5827,16421,17768,28362
"836","Florida Atlantic University","Florida","FL","Public","4 Year",11896,6039,17935,21595,33491
"837","Florida College","Florida","FL","Private","4 Year",8370,17142,25512,17142,25512
"838","Florida Gateway College","Florida","FL","Public","2 Year",NA,3100,3100,11747,11747
"839","Florida Gulf Coast University","Florida","FL","Public","4 Year",10156,6118,16274,25162,35318
"840","Florida Institute of Technology","Florida","FL","Private","4 Year",12880,41850,54730,41850,54730
"841","Florida International University","Florida","FL","Public","4 Year",10882,6558,17440,18956,29838
"842","Florida Keys Community College","Florida","FL","Public","2 Year",10200,3277,13477,13162,23362
"843","Florida Memorial University","Florida","FL","Private","4 Year",7816,15536,23352,15536,23352
"844","Florida National University","Florida","FL","For Profit","2 Year",NA,13800,13800,13800,13800
"845","Florida Southern College","Florida","FL","Private","4 Year",11650,36348,47998,36348,47998
"846","Florida SouthWestern State College","Florida","FL","Public","2 Year",9000,3401,12401,13944,22944
"847","Florida State College at Jacksonville","Florida","FL","Public","2 Year",NA,3146,3146,12038,12038
"848","Florida State University","Florida","FL","Public","4 Year",10816,6516,17332,21683,32499
"849","Folsom Lake College","California","CA","Public","2 Year",NA,1450,1450,9580,9580
"850","Fond du Lac Tribal and Community College","Minnesota","MN","Public","2 Year",3598,5258,8856,5258,8856
"851","Fontbonne University","Missouri","MO","Private","4 Year",10530,26340,36870,26340,36870
"852","Foothill College","California","CA","Public","2 Year",NA,1499,1499,9419,9419
"853","Fordham University","New York","NY","Private","4 Year",17969,52687,70656,52687,70656
"854","Forrest Junior College","South Carolina","SC","For Profit","2 Year",NA,8700,8700,8700,8700
"855","Forsyth Technical Community College","North Carolina","NC","Public","2 Year",NA,2446,2446,8206,8206
"856","Fort Hays State University","Kansas","KS","Public","4 Year",8300,5133,13433,15201,23501
"857","Fort Lewis College","Colorado","CO","Public","4 Year",9878,9040,18918,19696,29574
"858","Fort Peck Community College","Montana","MT","Public","2 Year",6075,2520,8595,2520,8595
"859","Fort Scott Community College","Kansas","KS","Public","2 Year",5770,2880,8650,3330,9100
"860","Fort Valley State University","Georgia","GA","Public","4 Year",8372,6664,15036,19740,28112
"861","Fox Valley Technical College","Wisconsin","WI","Public","2 Year",NA,4565,4565,6578,6578
"862","Framingham State University","Massachusetts","MA","Public","4 Year",12306,10335,22641,16415,28721
"863","Francis Marion University","South Carolina","SC","Public","4 Year",7948,11160,19108,21544,29492
"864","Franciscan University of Steubenville","Ohio","OH","Private","4 Year",8500,27630,36130,27630,36130
"865","Frank Phillips College","Texas","TX","Public","2 Year",5040,2838,7878,3850,8890
"866","Franklin & Marshall College","Pennsylvania","PA","Private","4 Year",14050,56750,70800,56750,70800
"867","Franklin College","Indiana","IN","Private","4 Year",9946,32010,41956,32010,41956
"868","Franklin Pierce University","New Hampshire","NH","Private","4 Year",13345,36900,50245,36900,50245
"869","Franklin University","Ohio","OH","Private","4 Year",NA,15805,15805,15805,15805
"870","Franklin W. Olin College of Engineering","Massachusetts","MA","Private","4 Year",16300,53736,70036,53736,70036
"871","Frederick Community College","Maryland","MD","Public","2 Year",NA,4457,4457,11627,11627
"872","Freed-Hardeman University","Tennessee","TN","Private","4 Year",8260,21950,30210,21950,30210
"873","Fremont College","California","CA","For Profit","2 Year",NA,36400,36400,36400,36400
"874","Fresno City College","California","CA","Public","2 Year",NA,1420,1420,9160,9160
"875","Fresno Pacific University","California","CA","Private","4 Year",8676,31452,40128,31452,40128
"876","Friends University","Kansas","KS","Private","4 Year",7972,28415,36387,28415,36387
"877","Front Range Community College","Colorado","CO","Public","2 Year",NA,3986,3986,15074,15074
"878","Frostburg State University","Maryland","MD","Public","4 Year",10202,9172,19374,22892,33094
"879","Fullerton College","California","CA","Public","2 Year",NA,1445,1445,9185,9185
"880","Fulton-Montgomery Community College","New York","NY","Public","2 Year",11870,5460,17330,10060,21930
"881","Furman University","South Carolina","SC","Private","4 Year",12712,49532,62244,49532,62244
"882","Gadsden State Community College","Alabama","AL","Public","2 Year",3600,4800,8400,8430,12030
"883","Gallaudet University",NA,"DC","Private","4 Year",14100,17038,31138,17038,31138
"884","Galveston College","Texas","TX","Public","2 Year",NA,2050,2050,4600,4600
"885","Gannon University","Pennsylvania","PA","Private","4 Year",12650,32136,44786,32136,44786
"886","Garden City Community College","Kansas","KS","Public","2 Year",5450,3120,8570,3690,9140
"887","Gardner-Webb University","North Carolina","NC","Private","4 Year",10390,31220,41610,31220,41610
"888","Garrett College","Maryland","MD","Public","2 Year",8275,4380,12655,9870,18145
"889","Gaston College","North Carolina","NC","Public","2 Year",NA,2386,2386,8146,8146
"890","Gateway Community and Technical College","Kentucky","KY","Public","2 Year",NA,5350,5350,18040,18040
"891","Gateway Community College","Connecticut","CT","Public","2 Year",NA,4404,4404,13644,13644
"892","GateWay Community College","Arizona","AZ","Public","2 Year",NA,2580,2580,9810,9810
"893","Gateway Technical College","Wisconsin","WI","Public","2 Year",NA,4026,4026,6039,6039
"894","Gavilan College","California","CA","Public","2 Year",NA,1418,1418,8408,8408
"895","Genesee Community College","New York","NY","Public","2 Year",8720,4640,13360,5240,13960
"896","Geneva College","Pennsylvania","PA","Private","4 Year",10170,26730,36900,26730,36900
"897","George C. Wallace Community College at Dothan","Alabama","AL","Public","2 Year",NA,4680,4680,8550,8550
"898","George C. Wallace State Community College at Selma","Alabama","AL","Public","2 Year",NA,4440,4440,4440,4440
"899","George Fox University","Oregon","OR","Private","4 Year",11250,36020,47270,36020,47270
"900","George Mason University","Virginia","VA","Public","4 Year",11460,12462,23922,35922,47382
"901","George Washington University",NA,"DC","Private","4 Year",13850,55230,69080,55230,69080
"902","Georgetown College","Kentucky","KY","Private","4 Year",9780,38650,48430,38650,48430
"903","Georgetown University",NA,"DC","Private","4 Year",16509,54104,70613,54104,70613
"904","Georgia College and State University","Georgia","GA","Public","4 Year",11016,9346,20362,28060,39076
"905","Georgia Gwinnett College","Georgia","GA","Public","4 Year",12870,6124,18994,18552,31422
"906","Georgia Highlands College","Georgia","GA","Public","2 Year",NA,3844,3844,11590,11590
"907","Georgia Institute of Technology","Georgia","GA","Public","4 Year",11884,12424,24308,33020,44904
"908","Georgia Military College","Georgia","GA","Public","2 Year",NA,6120,6120,6120,6120
"909","Georgia Northwestern Technical College","Georgia","GA","Public","2 Year",NA,3460,3460,6258,6258
"910","Georgia Perimeter College","Georgia","GA","Public","2 Year",NA,3860,3860,11606,11606
"911","Georgia Piedmont Technical College","Georgia","GA","Public","2 Year",NA,3454,3454,6124,6124
"912","Georgia Southern University","Georgia","GA","Public","4 Year",10070,7422,17492,20904,30974
"913","Georgia Southwestern State University","Georgia","GA","Public","4 Year",8120,6336,14456,19412,27532
"914","Georgia State University","Georgia","GA","Public","4 Year",11378,10858,22236,29432,40810
"915","Georgian Court University","New Jersey","NJ","Private","4 Year",10808,32876,43684,32876,43684
"916","Germanna Community College","Virginia","VA","Public","2 Year",NA,4913,4913,10841,10841
"917","Gettysburg College","Pennsylvania","PA","Private","4 Year",13010,54480,67490,54480,67490
"918","Glen Oaks Community College","Michigan","MI","Public","2 Year",NA,4440,4440,7350,7350
"919","Glendale Community College","California","CA","Public","2 Year",NA,1451,1451,8381,8381
"920","Glendale Community College","Arizona","AZ","Public","2 Year",NA,2580,2580,9840,9840
"921","Glenville State College","West Virginia","WV","Public","4 Year",NA,7327,7327,16565,16565
"922","Global University","Missouri","MO","Private","4 Year",NA,4770,4770,4770,4770
"923","God's Bible School and College","Ohio","OH","Private","4 Year",NA,4270,4270,4270,4270
"924","Goddard College","Vermont","VT","Private","4 Year",1698,16586,18284,16586,18284
"925","Gogebic Community College","Michigan","MI","Public","2 Year",5600,4924,10524,7373,12973
"926","Golden Gate University","California","CA","Private","4 Year",NA,15840,15840,15840,15840
"927","Golden West College","California","CA","Public","2 Year",NA,1452,1452,9552,9552
"928","Goldey-Beacom College","Delaware","DE","Private","4 Year",6400,24300,30700,24300,30700
"929","Goldfarb School of Nursing at Barnes-Jewish College","Missouri","MO","Private","4 Year",NA,21150,21150,21150,21150
"930","Gonzaga University","Washington","WA","Private","4 Year",11944,43210,55154,43210,55154
"931","Good Samaritan College of Nursing and Health Science","Ohio","OH","Private","2 Year",NA,15959,15959,15959,15959
"932","Goodwin College","Connecticut","CT","Private","2 Year",NA,20888,20888,20888,20888
"933","Gordon College","Massachusetts","MA","Private","4 Year",11070,37400,48470,37400,48470
"934","Gordon State College","Georgia","GA","Public","2 Year",6656,4292,10948,12714,19370
"935","Goshen College","Indiana","IN","Private","4 Year",10650,33700,44350,33700,44350
"936","Goucher College","Maryland","MD","Private","4 Year",14506,44300,58806,44300,58806
"937","Governors State University","Illinois","IL","Public","4 Year",10346,12196,22542,21586,31932
"938","Grace Bible College","Michigan","MI","Private","4 Year",7700,19950,27650,19950,27650
"939","Grace College","Indiana","IN","Private","4 Year",9134,24768,33902,24768,33902
"940","Grace University","Nebraska","NE","Private","4 Year",6912,23030,29942,23030,29942
"941","Graceland University","Iowa","IA","Private","4 Year",8760,29240,38000,29240,38000
"942","Grambling State University","Louisiana","LA","Public","4 Year",7192,7435,14627,16458,23650
"943","Grand Canyon University","Arizona","AZ","For Profit","4 Year",10100,27090,37190,27090,37190
"944","Grand Rapids Community College","Michigan","MI","Public","2 Year",NA,3879,3879,11319,11319
"945","Grand Valley State University","Michigan","MI","Public","4 Year",8690,12484,21174,17762,26452
"946","Grand View University","Iowa","IA","Private","4 Year",9178,27608,36786,27608,36786
"947","Granite State College","New Hampshire","NH","Public","4 Year",NA,9645,9645,10875,10875
"948","Grantham University","Kansas","KS","For Profit","4 Year",NA,6540,6540,6540,6540
"949","Gratz College","Pennsylvania","PA","Private","4 Year",NA,17630,17630,17630,17630
"950","Grays Harbor College","Washington","WA","Public","2 Year",NA,4620,4620,5043,5043
"951","Grayson College","Texas","TX","Public","2 Year",5700,3600,9300,6120,11820
"952","Great Basin College","Nevada","NV","Public","4 Year",3366,3128,6494,9542,12908
"953","Great Bay Community College","New Hampshire","NH","Public","2 Year",NA,7200,7200,15450,15450
"954","Great Falls College Montana State University","Montana","MT","Public","2 Year",NA,3386,3386,10278,10278
"955","Great Lakes Christian College","Michigan","MI","Private","4 Year",8800,17220,26020,17220,26020
"956","Green Mountain College","Vermont","VT","Private","4 Year",11722,37002,48724,37002,48724
"957","Green River College","Washington","WA","Public","4 Year",NA,4581,4581,4581,4581
"958","Greenfield Community College","Massachusetts","MA","Public","2 Year",NA,6932,6932,14582,14582
"959","Greensboro College","North Carolina","NC","Private","4 Year",10800,29140,39940,29140,39940
"960","Greenville Technical College","South Carolina","SC","Public","2 Year",NA,5580,5580,11100,11100
"961","Greenville University","Illinois","IL","Private","4 Year",9048,27152,36200,27152,36200
"962","Grinnell College","Iowa","IA","Private","4 Year",12810,52392,65202,52392,65202
"963","Grossmont College","California","CA","Public","2 Year",NA,1418,1418,9158,9158
"964","Grove City College","Pennsylvania","PA","Private","4 Year",9770,17930,27700,17930,27700
"965","Guam Community College",NA,"GU","Public","2 Year",NA,4194,4194,4944,4944
"966","Guilford College","North Carolina","NC","Private","4 Year",11200,38250,49450,38250,49450
"967","Guilford Technical Community College","North Carolina","NC","Public","2 Year",NA,2333,2333,8093,8093
"968","Gulf Coast State College","Florida","FL","Public","2 Year",NA,2963,2963,10791,10791
"969","Gupton Jones College of Funeral Service","Georgia","GA","Private","2 Year",NA,11750,11750,11750,11750
"970","Gustavus Adolphus College","Minnesota","MN","Private","4 Year",9910,45400,55310,45400,55310
"971","Gutenberg College","Oregon","OR","Private","4 Year",5000,13650,18650,13650,18650
"972","Gwinnett College","Georgia","GA","For Profit","2 Year",NA,9850,9850,9850,9850
"973","Gwinnett Technical College","Georgia","GA","Public","2 Year",NA,3506,3506,6176,6176
"974","Gwynedd Mercy University","Pennsylvania","PA","Private","4 Year",12370,35600,47970,35600,47970
"975","Hagerstown Community College","Maryland","MD","Public","2 Year",NA,4050,4050,7920,7920
"976","Halifax Community College","North Carolina","NC","Public","2 Year",NA,2452,2452,8212,8212
"977","Hamilton College","New York","NY","Private","4 Year",13870,54620,68490,54620,68490
"978","Hamline University","Minnesota","MN","Private","4 Year",10358,41298,51656,41298,51656
"979","Hampden-Sydney College","Virginia","VA","Private","4 Year",13558,45746,59304,45746,59304
"980","Hampshire College","Massachusetts","MA","Private","4 Year",13606,51668,65274,51668,65274
"981","Hampton University","Virginia","VA","Private","4 Year",11778,26702,38480,26702,38480
"982","Hannibal-LaGrange University","Missouri","MO","Private","4 Year",8108,22750,30858,22750,30858
"983","Hanover College","Indiana","IN","Private","4 Year",11580,37670,49250,37670,49250
"984","Harcum College","Pennsylvania","PA","Private","2 Year",10200,24200,34400,24200,34400
"985","Hardin-Simmons University","Texas","TX","Private","4 Year",8080,28990,37070,28990,37070
"986","Harding University","Arkansas","AR","Private","4 Year",7044,20135,27179,20135,27179
"987","Harford Community College","Maryland","MD","Public","2 Year",NA,4644,4644,10075,10075
"988","Harper College","Illinois","IL","Public","2 Year",NA,4578,4578,14553,14553
"989","Harris-Stowe State University","Missouri","MO","Public","4 Year",9250,5340,14590,9973,19223
"990","Harrisburg Area Community College","Pennsylvania","PA","Public","2 Year",NA,6683,6683,9135,9135
"991","Harrisburg University of Science and Technology","Pennsylvania","PA","Private","4 Year",6800,23900,30700,23900,30700
"992","Hartnell College","California","CA","Public","2 Year",NA,1400,1400,8870,8870
"993","Hartwick College","New York","NY","Private","4 Year",12460,45510,57970,45510,57970
"994","Harvard College","Massachusetts","MA","Private","4 Year",17160,50420,67580,50420,67580
"995","Harvey Mudd College","California","CA","Private","4 Year",18127,56876,75003,56876,75003
"996","Haskell Indian Nations University","Kansas","KS","Public","4 Year",950,480,1430,480,1430
"997","Hastings College","Nebraska","NE","Private","4 Year",9700,30050,39750,30050,39750
"998","Haverford College","Pennsylvania","PA","Private","4 Year",16402,54592,70994,54592,70994
"999","Hawaii Pacific University","Hawaii","HI","Private","4 Year",14800,25980,40780,25980,40780
"1000","Hawaii Tokai International College","Hawaii","HI","Private","2 Year",9000,13485,22485,13485,22485
"1001","Hawkeye Community College","Iowa","IA","Public","2 Year",NA,6360,6360,6600,6600
"1002","Haywood Community College","North Carolina","NC","Public","2 Year",NA,2383,2383,8143,8143
"1003","Hazard Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000
"1004","Heartland Community College","Illinois","IL","Public","2 Year",NA,4590,4590,13110,13110
"1005","Hebrew Theological College","Illinois","IL","Private","4 Year",12380,12920,25300,12920,25300
"1006","Heidelberg University","Ohio","OH","Private","4 Year",10400,31000,41400,31000,41400
"1007","Helena College University of Montana","Montana","MT","Public","2 Year",NA,3349,3349,9083,9083
"1008","Helene Fuld College of Nursing","New York","NY","Private","2 Year",NA,21286,21286,21286,21286
"1009","Hellenic College/Holy Cross","Massachusetts","MA","Private","4 Year",16192,22490,38682,22490,38682
"1010","Henderson Community College","Kentucky","KY","Public","2 Year",NA,5550,5550,18000,18000
"1011","Henderson State University","Arkansas","AR","Public","4 Year",7504,8436,15940,10086,17590
"1012","Hendrix College","Arkansas","AR","Private","4 Year",12284,45790,58074,45790,58074
"1013","Hennepin Technical College","Minnesota","MN","Public","2 Year",NA,5119,5119,5119,5119
"1014","Henry Ford College","Michigan","MI","Public","2 Year",NA,3850,3850,8380,8380
"1015","Heritage Christian University","Alabama","AL","Private","4 Year",5745,12312,18057,12312,18057
"1016","Heritage University","Washington","WA","Private","4 Year",NA,18124,18124,18124,18124
"1017","Herkimer County Community College","New York","NY","Public","2 Year",10128,5320,15448,7950,18078
"1018","Hesston College","Kansas","KS","Private","2 Year",8800,26900,35700,26900,35700
"1019","Hibbing Community College","Minnesota","MN","Public","2 Year",3380,5336,8716,5336,8716
"1020","High Point University","North Carolina","NC","Private","4 Year",14130,35118,49248,35118,49248
"1021","Highland Community College","Illinois","IL","Public","2 Year",NA,5220,5220,8160,8160
"1022","Highland Community College","Kansas","KS","Public","2 Year",6528,3030,9558,3510,10038
"1023","Highline College","Washington","WA","Public","2 Year",NA,4027,4027,4461,4461
"1024","Hilbert College","New York","NY","Private","4 Year",9350,22400,31750,22400,31750
"1025","Hill College","Texas","TX","Public","2 Year",3850,2970,6820,4120,7970
"1026","Hillsborough Community College","Florida","FL","Public","2 Year",NA,3132,3132,11388,11388
"1027","Hillsdale College","Michigan","MI","Private","4 Year",11000,27577,38577,27577,38577
"1028","Hinds Community College","Mississippi","MS","Public","2 Year",4120,3130,7250,6170,10290
"1029","Hiram College","Ohio","OH","Private","4 Year",10290,34300,44590,34300,44590
"1030","Hiwassee College","Tennessee","TN","Private","2 Year",7987,19571,27558,19571,27558
"1031","Hobart and William Smith Colleges","New York","NY","Private","4 Year",14785,55255,70040,55255,70040
"1032","Hobe Sound Bible College","Florida","FL","Private","4 Year",6170,6490,12660,6490,12660
"1033","Hocking College","Ohio","OH","Public","2 Year",8560,4390,12950,8790,17350
"1034","Hodges University","Florida","FL","Private","4 Year",NA,17600,17600,17600,17600
"1035","Hofstra University","New York","NY","Private","4 Year",15948,46760,62708,46760,62708
"1036","Hollins University","Virginia","VA","Private","4 Year",13520,39035,52555,39035,52555
"1037","Holmes Community College","Mississippi","MS","Public","2 Year",3080,3110,6190,5690,8770
"1038","Holy Apostles College and Seminary","Connecticut","CT","Private","4 Year",NA,9670,9670,9670,9670
"1039","Holy Cross College","Indiana","IN","Private","4 Year",11500,30820,42320,30820,42320
"1040","Holy Family University","Pennsylvania","PA","Private","4 Year",13576,30346,43922,30346,43922
"1041","Holy Names University","California","CA","Private","4 Year",13190,39316,52506,39316,52506
"1042","Holy Trinity Orthodox Seminary","New York","NY","Private","4 Year",5290,7700,12990,7700,12990
"1043","Holyoke Community College","Massachusetts","MA","Public","2 Year",NA,5760,5760,11940,11940
"1044","Hood College","Maryland","MD","Private","4 Year",12700,39492,52192,39492,52192
"1045","Hope College","Michigan","MI","Private","4 Year",10310,34010,44320,34010,44320
"1046","Hope International University","California","CA","Private","4 Year",10490,33400,43890,33400,43890
"1047","Hopkinsville Community College","Kentucky","KY","Public","2 Year",NA,5070,5070,17760,17760
"1048","Horizon University","California","CA","Private","4 Year",NA,7700,7700,7700,7700
"1049","Horry-Georgetown Technical College","South Carolina","SC","Public","2 Year",NA,5248,5248,10408,10408
"1050","Houghton College","New York","NY","Private","4 Year",9288,32488,41776,32488,41776
"1051","Housatonic Community College","Connecticut","CT","Public","2 Year",NA,4394,4394,13162,13162
"1052","Houston Baptist University","Texas","TX","Private","4 Year",8814,32530,41344,32530,41344
"1053","Houston Community College System","Texas","TX","Public","2 Year",NA,2031,2031,4686,4686
"1054","Howard College","Texas","TX","Public","2 Year",4834,2560,7394,5420,10254
"1055","Howard Community College","Maryland","MD","Public","2 Year",NA,4920,4920,9060,9060
"1056","Howard Payne University","Texas","TX","Private","4 Year",8386,28090,36476,28090,36476
"1057","Howard University",NA,"DC","Private","4 Year",13895,27056,40951,27056,40951
"1058","Hudson County Community College","New Jersey","NJ","Public","2 Year",NA,5718,5718,14028,14028
"1059","Hudson Valley Community College","New York","NY","Public","2 Year",NA,5640,5640,12915,12915
"1060","Huertas College",NA,"PR","For Profit","2 Year",NA,6635,6635,6635,6635
"1061","Hult International Business School","California","CA","Private","4 Year",15000,40650,55650,40650,55650
"1062","Humacao Community College",NA,"PR","Private","2 Year",3000,5382,8382,5382,8382
"1063","Humboldt State University","California","CA","Public","4 Year",12870,7676,20546,19556,32426
"1064","Humphreys College","California","CA","Private","4 Year",NA,14292,14292,14292,14292
"1065","Huntingdon College","Alabama","AL","Private","4 Year",9750,27400,37150,27400,37150
"1066","Huntington College of Health Sciences","Tennessee","TN","For Profit","2 Year",NA,6635,6635,6635,6635
"1067","Huntington University","Indiana","IN","Private","4 Year",8668,26180,34848,26180,34848
"1068","Huntsville Bible College","Alabama","AL","Private","4 Year",NA,5390,5390,5390,5390
"1069","Hussian College, School of Art","Pennsylvania","PA","For Profit","2 Year",NA,21990,21990,21990,21990
"1070","Husson University","Maine","ME","Private","4 Year",9830,18180,28010,18180,28010
"1071","Huston-Tillotson University","Texas","TX","Private","4 Year",7568,14346,21914,14346,21914
"1072","Hutchinson Community College","Kansas","KS","Public","2 Year",5800,3000,8800,4230,10030
"1073","IBMC College: Fort Collins","Colorado","CO","For Profit","2 Year",NA,13010,13010,13010,13010
"1074","ICPR Junior College",NA,"PR","For Profit","2 Year",4000,7010,11010,7010,11010
"1075","Idaho State University","Idaho","ID","Public","4 Year",7207,7420,14627,22940,30147
"1076","Ilisagvik College","Alaska","AK","Public","2 Year",13000,4300,17300,4300,17300
"1077","Illinois Central College","Illinois","IL","Public","2 Year",NA,4500,4500,11340,11340
"1078","Illinois College","Illinois","IL","Private","4 Year",9280,33090,42370,33090,42370
"1079","Illinois Eastern Community Colleges: Frontier Community College","Illinois","IL","Public","2 Year",NA,3730,3730,11008,11008
"1080","Illinois Eastern Community Colleges: Lincoln Trail College","Illinois","IL","Public","2 Year",NA,3730,3730,11008,11008
"1081","Illinois Eastern Community Colleges: Olney Central College","Illinois","IL","Public","2 Year",NA,3730,3730,11008,11008
"1082","Illinois Eastern Community Colleges: Wabash Valley College","Illinois","IL","Public","2 Year",NA,3730,3730,11008,11008
"1083","Illinois Institute of Technology","Illinois","IL","Private","4 Year",12762,47296,60058,47296,60058
"1084","Illinois State University","Illinois","IL","Public","4 Year",9850,14516,24366,26040,35890
"1085","Illinois Valley Community College","Illinois","IL","Public","2 Year",NA,4015,4015,11793,11793
"1086","Illinois Wesleyan University","Illinois","IL","Private","4 Year",10984,47636,58620,47636,58620
"1087","Immaculata University","Pennsylvania","PA","Private","4 Year",12620,27350,39970,27350,39970
"1088","Imperial Valley College","California","CA","Public","2 Year",NA,1420,1420,9010,9010
"1089","Independence Community College","Kansas","KS","Public","2 Year",5168,2910,8078,3300,8468
"1090","Indian River State College","Florida","FL","Public","2 Year",NA,3115,3115,11715,11715
"1091","Indiana Institute of Technology","Indiana","IN","Private","4 Year",10020,26900,36920,26900,36920
"1092","Indiana State University","Indiana","IN","Public","4 Year",10590,9090,19680,19836,30426
"1093","Indiana University Bloomington","Indiana","IN","Public","4 Year",10465,10681,21146,35456,45921
"1094","Indiana University East","Indiana","IN","Public","4 Year",NA,7344,7344,19400,19400
"1095","Indiana University Kokomo","Indiana","IN","Public","4 Year",NA,7344,7344,19400,19400
"1096","Indiana University Northwest","Indiana","IN","Public","4 Year",NA,7344,7344,19400,19400
"1097","Indiana University of Pennsylvania","Pennsylvania","PA","Public","4 Year",12592,12979,25571,17299,29891
"1098","Indiana University South Bend","Indiana","IN","Public","4 Year",7309,7344,14653,19400,26709
"1099","Indiana University Southeast","Indiana","IN","Public","4 Year",6780,7344,14124,19400,26180
"1100","Indiana University-Purdue University Fort Wayne","Indiana","IN","Public","4 Year",5996,8450,14446,20288,26284
"1101","Indiana University-Purdue University Indianapolis","Indiana","IN","Public","4 Year",8924,9465,18389,29821,38745
"1102","Indiana Wesleyan University","Indiana","IN","Private","4 Year",8312,25980,34292,25980,34292
"1103","Institute of American Indian Arts","New Mexico","NM","Public","4 Year",9604,4980,14584,4980,14584
"1104","Inter American University of Puerto Rico: Aguadilla Campus",NA,"PR","Private","4 Year",NA,6262,6262,6262,6262
"1105","Inter American University of Puerto Rico: Arecibo Campus",NA,"PR","Private","4 Year",NA,6452,6452,6452,6452
"1106","Inter American University of Puerto Rico: Barranquitas Campus",NA,"PR","Private","4 Year",NA,6262,6262,6262,6262
"1107","Inter American University of Puerto Rico: Bayamon Campus",NA,"PR","Private","4 Year",7993,5898,13891,5898,13891
"1108","Inter American University of Puerto Rico: Fajardo Campus",NA,"PR","Private","4 Year",NA,5898,5898,5898,5898
"1109","Inter American University of Puerto Rico: Guayama Campus",NA,"PR","Private","4 Year",NA,6452,6452,6452,6452
"1110","Inter American University of Puerto Rico: Metropolitan Campus",NA,"PR","Private","4 Year",NA,7476,7476,7476,7476
"1111","Inter American University of Puerto Rico: Ponce Campus",NA,"PR","Private","4 Year",NA,5220,5220,5220,5220
"1112","Inter American University of Puerto Rico: San German Campus",NA,"PR","Private","4 Year",3900,5976,9876,5976,9876
"1113","International Baptist College","Arizona","AZ","Private","4 Year",6200,11250,17450,11250,17450
"1114","International College of Broadcasting","Ohio","OH","For Profit","2 Year",NA,31950,31950,31950,31950
"1115","Inver Hills Community College","Minnesota","MN","Public","2 Year",NA,5332,5332,5332,5332
"1116","Iona College","New York","NY","Private","4 Year",15278,38812,54090,38812,54090
"1117","Iowa Central Community College","Iowa","IA","Public","2 Year",6850,5490,12340,7890,14740
"1118","Iowa Lakes Community College","Iowa","IA","Public","2 Year",6750,6058,12808,6388,13138
"1119","Iowa State University","Iowa","IA","Public","4 Year",8720,8988,17708,23392,32112
"1120","Iowa Wesleyan College","Iowa","IA","Private","4 Year",10500,30500,41000,30500,41000
"1121","Iowa Western Community College","Iowa","IA","Public","2 Year",6430,5615,12045,5765,12195
"1122","Irvine Valley College","California","CA","Public","2 Year",NA,1418,1418,9608,9608
"1123","Island Drafting and Technical Institute","New York","NY","For Profit","2 Year",NA,16650,16650,16650,16650
"1124","Isothermal Community College","North Carolina","NC","Public","2 Year",NA,2334,2334,8094,8094
"1125","Itasca Community College","Minnesota","MN","Public","2 Year",5920,5920,11840,7102,13022
"1126","Itawamba Community College","Mississippi","MS","Public","2 Year",3900,3020,6920,5220,9120
"1127","Ithaca College","New York","NY","Private","4 Year",15562,43978,59540,43978,59540
