"","type","year","tuition_type","tuition_cost"
"198","Private","1985-86","2 Year Current",6512
"199","Private","1995-96","All Constant",27027
"200","Private","1995-96","4 Year Constant",27661
"201","Private","1995-96","2 Year Constant",18161
"202","Private","1995-96","All Current",17208
"203","Private","1995-96","4 Year Current",17612
"204","Private","1995-96","2 Year Current",11563
"205","Private","2000-01","All Constant",29621
"206","Private","2000-01","4 Year Constant",30290
"207","Private","2000-01","2 Year Constant",20660
"208","Private","2000-01","All Current",21373
"209","Private","2000-01","4 Year Current",21856
"210","Private","2000-01","2 Year Current",14907
"211","Private","2001-02","All Constant",30522
"212","Private","2001-02","4 Year Constant",31179
"213","Private","2001-02","2 Year Constant",21550
"214","Private","2001-02","All Current",22413
"215","Private","2001-02","4 Year Current",22896
"216","Private","2001-02","2 Year Current",15825
"217","Private","2002-03","All Constant",31101
"218","Private","2002-03","4 Year Constant",31696
"219","Private","2002-03","2 Year Constant",23656
"220","Private","2002-03","All Current",23340
"221","Private","2002-03","4 Year Current",23787
"222","Private","2002-03","2 Year Current",17753
"223","Private","2003-04","All Constant",32109
"224","Private","2003-04","4 Year Constant",32690
"225","Private","2003-04","2 Year Constant",25503
"226","Private","2003-04","All Current",24624
"227","Private","2003-04","4 Year Current",25070
"228","Private","2003-04","2 Year Current",19558
"229","Private","2004-05","All Constant",32680
"230","Private","2004-05","4 Year Constant",33241
"231","Private","2004-05","2 Year Constant",25694
"232","Private","2004-05","All Current",25817
"233","Private","2004-05","4 Year Current",26260
"234","Private","2004-05","2 Year Current",20297
"235","Private","2005-06","All Constant",32812
"236","Private","2005-06","4 Year Constant",33330
"237","Private","2005-06","2 Year Constant",26101
"238","Private","2005-06","All Current",26908
"239","Private","2005-06","4 Year Current",27333
"240","Private","2005-06","2 Year Current",21404
"241","Private","2009-10","All Constant",35089
"242","Private","2009-10","4 Year Constant",35655
"243","Private","2009-10","2 Year Constant",27389
"244","Private","2009-10","All Current",31341
"245","Private","2009-10","4 Year Current",31847
"246","Private","2009-10","2 Year Current",24463
"247","Private","2013-14","All Constant",37173
"248","Private","2013-14","4 Year Constant",37797
"249","Private","2013-14","2 Year Constant",24652
"250","Private","2013-14","All Current",35995
"251","Private","2013-14","4 Year Current",36599
"252","Private","2013-14","2 Year Current",23870
"253","Private","2014-15","All Constant",38367
"254","Private","2014-15","4 Year Constant",38947
"255","Private","2014-15","2 Year Constant",24941
"256","Private","2014-15","All Current",37422
"257","Private","2014-15","4 Year Current",37988
"258","Private","2014-15","2 Year Current",24327
"259","Private","2015-16","All Constant",39734
"260","Private","2015-16","4 Year Constant",40261
"261","Private","2015-16","2 Year Constant",24824
"262","Private","2015-16","All Current",39016
"263","Private","2015-16","4 Year Current",39534
"264","Private","2015-16","2 Year Current",24375
"265","Private","2016-17","All Constant",40925
"266","Private","2016-17","4 Year Constant",41468
"267","Private","2016-17","2 Year Constant",24882
"268","Private","2016-17","All Current",40925
"269","Private","2016-17","4 Year Current",41468
"270","Private","2016-17","2 Year Current",24882
